"rt	rt"
"@teddyferrari1	@teddyferrari1"
":	:"
"""	"""
"ah	ah"
"...	..."
"@datzmenoni	@datzmenoni"
":	:"
"why	why"
"sub	sub"
"ozil	ozil"
"""	"""
"@lexzydoo_ab	@lexzydoo_ab"
":	:"
"opolo	opolo"
"eyes	eyes"
"u	you"
"no	no"
"fit	fit"
"open	open"
"eyes	eyes"
"""""	"""""
""
"u	you"
"have	have"
"a	a"
"very	very"
"sexy	sexy"
"header	header"
"@jaibrooks1	@jaibrooks1"
"rawr	rawr"
""
"i	i"
"miss	miss"
"u	you"
"my	my"
"bie	bie"
"!	!"
"where	where"
"u	you"
"wanna	want to"
"out	out"
"wif	with"
"me	me"
"?	?"
"have	have"
"a	a"
"wonderful	wonderful"
"day	day"
"like	like"
"a	a"
"swan	swan"
"day	day"
"..	.."
"haha	haha"
"..	.."
""
"""	"""
"cantik	cantik"
".	."
"rt	rt"
"@historyinpics	@historyinpics"
":	:"
"julie	julie"
"christie	christie"
",	,"
"1968	1968"
".	."
"photograph	photograph"
"by	by"
"richard	richard"
"avedon	avedon"
".	."
"http://t.co/gscav8o0ik	http://t.co/gscav8o0ik"
"""	"""
""
"rt	rt"
"@fvckxhemmings	@fvckxhemmings"
":	:"
"did	did"
"calum	calum"
"slip	slip"
"?!!	?!!"
"omfg	omfg"
""
"@daviddarkshade	@daviddarkshade"
"and	and"
"you	you"
"didnt	didn't"
"make	make"
"this	this"
"brah	brother"
"my	my"
"friend	friend"
"jack	jack"
"storm	storm"
"did	did"
":)	:)"
""
"@xoxoxyareli	@xoxoxyareli"
"@billmillerprobz	@billmillerprobz"
"pshh	pshh"
"i	i"
"went	went"
"and	and"
"got	got"
"mine	mine"
"done	done"
"regardless	regardless"
"!	!"
"!	!"
"im	i'm"
"sick	sick"
"of	of"
"not	not"
"being	being"
"able	able"
"to	to"
"be	be"
"a	a"
"girl	girl"
"haha	haha"
""
"@tindency	@tindency"
"syempre	syempre"
"in	in"
"the	the"
"right	right"
"age	age"
"hahaha	hahaha"
""
"@khalilbrown_	@khalilbrown_"
"shit	shit"
"rockin	rocking"
".	."
"go	go"
"head	head"
"show	show"
"that	that"
"to	to"
"bria	bria"
".	."
""
"rt	rt"
"@kpoplover727	@kpoplover727"
":	:"
"words	words"
"that	that"
"describe	describe"
"exo	exo"
":	:"
"luhan	luhan"
"is	is"
"pain	pain"
"chanyeol	chanyeol"
"is	is"
"sex	sex"
"sehun	sehun"
"is	is"
"porn	porn"
""
"rt	rt"
"@michael_heaver	@michael_heaver"
":	:"
"ukip	ukip"
"has	has"
"had	had"
"two	two"
"councillors	councillors"
"elected	elected"
"in	in"
"northern	northern"
"ireland	ireland"
"today	today"
".	."
"marvellous	marvelous"
".	."
""
"@kam_maynee	@kam_maynee"
"lol	lol"
"cause	because"
"i	i"
"said	said"
"&	&"
"you	you"
"woulda	would have"
"been	been"
"falling	falling"
"right	right"
"along	along"
"with	with"
"me	me"
".	."
""
"@raqueldiosdado	@raqueldiosdado"
"yea	yeah"
"i	i"
"was	was"
"gonna	going to"
"hit	hit"
"u	you"
"up	up"
"but	but"
"guess	guess"
"not	not"
"lol	lol"
""
"@_nicolebeans	@_nicolebeans"
"haha	haha"
"okay	okay"
".	."
"well	well"
",	,"
"at	at"
"least	least"
"i	i"
"know	know"
"the	the"
"other	other"
"blog	blog"
"you've	you've"
"been	been"
"dying	dying"
"to	to"
"hide	hide"
"lol	lol"
""
"he	he"
"obvi	obviously"
"doesnt	doesn't"
"understand	understand"
"that	that"
"#ballislife	#ballislife"
"http://t.co/wbx9h8jndm	http://t.co/wbx9h8jndm"
""
"@_queencliffordx	@_queencliffordx"
"im	i'm"
"friends	friends"
"with	with"
"grecia	grecia"
"i	i"
"know	know"
"this	this"
""
"@iisuperwomanii	@iisuperwomanii"
"i	i"
"just	just"
"love	love"
